week,population,deaths,confirmed,recovered,active,hospitalized,hospitalization rate,"US, HI - HR","US, AK - HR","US, CA - HR","US, AL - HR","US, AR - HR","US, AZ - HR","US, CO - HR","US, CT - HR","US, FL - HR","US, GA - HR","US, IA - HR","US, IL - HR","US, IN - HR","US, KY - HR","US, LA - HR","US, MA - HR","US, MD - HR","US, MI - HR","US, MN - HR","US, MO - HR","US, NC - HR","US, NE - HR","US, NH - HR","US, NJ - HR","US, NM - HR","US, NV - HR","US, NY - HR","US, OH - HR","US, OR - HR","US, PA - HR","US, RI - HR","US, TN - HR","US, TX - HR","US, VA - HR","US, WI - HR","US, MT - HR","US, OK - HR","US, SC - HR","US, UT - HR","US, ME - HR","US, MS - HR","US, WV - HR","US, ID - HR","US, KS - HR","US, ND - HR","US, SD - HR","US, WY - HR","US, VT - HR","US, DE - HR"
1,7614893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7614893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7614893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7614893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7614893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7614893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7614893,1743,32043,0,30494,1556,1.04217621751484,1.86845439401134,2.44124825502836,3.99442439384328,2.64109798451641,2.00388184328774,2.09979530113071,4.05359896950889,2.82952584666291,2.17031225504082,4.18256151101846,1.78686449801796,3.76996881561375,0,6.3783166481934,0,1.84223967379869,4.79417605851899,3.21625173840689,4.8881580334313,4.78289052075146,1.55887043666113,0,3.40237112651559,2.58819926248801,1.86153239475221,0.710255893642857,4.79351602367065,6.30280615178699,5.00977837610389,1.96244932620154,2.15313994058322,2.24844258535524,1.95790023228396,4.03706896905901,6.25914369199866,2.61464036929659,4.79084867504143,3.46891018364094,1.84185217981833,3.82808123213876,4.11947766807177,4.72325736089432,1.98489738389892,4.79252924838129,2.64740323892965,1.1081565180688,3.21229519064935,1.25708262763445,2.40840393564115
8,7614893,10957,188817,0,178571,6913,4.03965024352963,10.5671176455317,9.80117466567201,13.1613530363725,14.0866452877502,10.7565926761637,15.0174803047079,19.8955840422639,8.85211223301575,16.7442607566078,20.4360613880085,6.32390157827692,12.8179083196699,2.10770776144694,34.7739681026246,0,10.5419880028114,23.4917788341083,9.51090788717935,25.5504128438193,14.0526363413761,5.76745072604143,0,14.4504958490431,7.62480913629563,15.6071159522101,0,23.1481196616799,23.6151005655107,25.462169983659,7.12421802120651,9.39597289160488,10.6445832590103,6.91246472205373,19.5410492874958,27.9556735577547,14.1617932199689,22.1495436424151,18.6911042261789,9.07581236651135,17.0387873327796,19.5138879404242,10.1884690186717,9.65584600958852,19.2089636000661,9.86917598069335,5.96074640382762,13.6415202856824,5.0253092487728,8.26122579056482
9,7614893,13866,242034,0,228647,3450,1.47792114326839,12.9230241516746,0,0,13.8565272150583,13.1025870462212,15.4205762569991,18.7155891058886,27.4364917095699,19.047802948213,19.7570246484203,0,0,7.68189912309971,29.041795897783,0,10.4478103182055,20.6368525741568,0,17.5207773522628,0,0,0,11.3632113329646,0,17.0080328573207,0,23.2702277505503,19.875045036575,22.9707224154984,0,11.7203498391224,9.41793447422639,0,21.7933335820735,20.3976962364976,14.5113298064399,19.6813403144205,17.7117209114072,8.8883882430552,15.6337012426046,17.6501260006126,0,9.89368685974509,10.6326697032674,8.13025168419612,8.13135126991481,10.4994977486327,0,0
10,7614893,16013,291027,0,275301,29489,10.5358212506264,13.7789314944572,0,0,12.1095982874168,11.1907716027517,13.4171569338224,18.4070362310091,32.0080594169169,20.0719737735889,18.8440419145368,0,0,17.2373206268519,25.9936565730929,0,10.728914637202,18.581032523498,0,13.8278171019511,0,0,0,10.535989084631,3.0327891888266,17.7905119677837,0,23.1985193020681,18.6264079792099,20.4260040191228,0,12.0428208172622,8.64319417834301,0,19.045672309636,16.7030110818877,14.5569793961124,17.0946954924938,16.7516583969475,9.38679775363898,13.4106232704738,16.555698081553,0,9.28182199919269,9.50640224144886,7.10252553712802,8.62429327212816,10.0986539572151,0,0
11,7614893,17434,355365,0,333455,54457,16.6537167799356,13.3525015618137,0.640854472630173,0,10.5666828239908,9.62990214432569,13.9609343238721,17.8828903201969,26.9077667585999,19.0569428740506,18.0316299648954,0,0,17.4790026752052,22.8527614571371,0,10.7929292349211,17.6510577712621,0,13.0279496646546,0,0,4.73586267003655,10.3130968763865,11.7106588468945,18.1387721590542,0,25.5758550792442,18.1468250515434,18.8379767527442,0,12.3481626266479,7.8579856500576,0,16.7231263905801,14.7438125617452,13.8459640648791,15.5621852481716,13.9587777332553,8.16061789603973,12.5712459410096,15.3314044604022,0,8.84454284046105,9.40903393549529,6.93033630606237,9.47976835127377,10.0449722016883,0,0
12,7614893,18739,436012,0,410502,60251,15.0669308217283,13.1342066631117,0,0,8.78494253445477,7.87034488154094,8.73738321827507,18.6693964124723,23.6571983706074,14.6220572993558,16.3134249182695,0,0,17.0483913943015,19.6141815032174,0,11.0918353953325,17.5133071547806,0,12.4396324219697,0,0,7.19340968549899,10.5198634727526,12.2441716031196,17.5650992595758,0,24.8618921959539,17.2851025566796,15.0768147814855,0,12.6366200706207,7.03196040517576,0,15.7073512055936,13.8765829631212,13.0155672716812,12.9703632969075,9.93421019627849,7.34443605580877,12.0251516381797,13.8838772071973,0,7.42523007717868,9.10593467074619,6.95073629001452,10.2817516945636,9.04163755094721,0,0
13,7614893,20308,561048,0,529723,67717,13.2519248413253,12.1235138085035,0,0,8.46622643987842,7.05039896821292,5.62331717449774,17.4729594778394,23.8106671837983,8.77041913779458,13.2493008195686,0,0,16.141612459532,16.8211319295457,0,11.1615020186554,16.9747904525508,0,11.6209216164166,0,0,7.31945049942333,10.3981037266749,12.5330126117954,16.0399396715804,0,24.2484308018189,15.3189669816213,11.5869330853315,0,12.7186582371944,5.9937278106077,0,15.6487813025986,12.1012961061482,9.58892683070175,11.2706321361362,7.13004349623927,6.78791513594548,11.3002231208942,11.2974459789359,0,5.03414512264914,7.9927160025652,6.79739723328837,10.5237555722446,7.68857973830551,0,0
14,7614893,22242,738829,0,704109,76582,11.3307163185549,10.8531133101303,0,0,12.8808824851928,6.95076049056331,5.08559296862167,15.8141715908567,23.6861006666464,6.48094362248798,11.2721191648956,0,0,14.8073916407275,13.414109282664,0,11.0276863577912,16.0979677153683,0,10.6517427118937,0,0,6.91833930451521,11.4551378912455,12.7146420030275,14.7189606830243,0,23.6216263484738,13.5332900292661,9.94519967359664,0,12.5947866141589,5.02084833654065,0,15.4624407737181,10.2131289956898,6.85735906665563,9.93801614355314,6.46142590921756,6.43166660916952,10.8984239897166,9.0480854867284,0,4.29919874693587,7.03040594690576,6.33441589700093,10.4093197408404,6.99602141626785,0,0
15,7614893,25033,913324,0,876530,86608,10.3079964521082,8.14855085586827,0,0,12.5387337447724,7.14339169475346,8.75711535980198,14.2892805680055,23.189568456105,6.16801392863447,10.4557875423103,0,0,13.8933968750609,12.4641482513698,0,10.7520798281331,15.0065940519029,0,9.97012347818925,0,0,6.54082971936103,11.1342165528889,12.6964544482897,13.7351380864592,0,23.0558515025054,12.4891231829275,9.13161590714845,0,12.4107400946249,4.68599299348368,0,15.4712094637832,9.09937419758878,5.99531446207418,9.09191134832617,6.51024790073674,6.36076542045745,10.492912222915,7.58750639732812,0,4.27787293463339,6.67297970947378,5.95594564274485,9.92843233714513,6.37588009216171,0,0
16,7614893,27442,1051933,0,1011839,95728,9.87206483826498,6.05036444989261,0,0,12.5880090917127,7.40246591619122,11.4982979940003,13.412724296722,23.0274484177807,6.52528736624258,9.93092400069761,0,0,12.9991488228709,11.1172513387233,0,10.5044316461016,14.4526667950251,0,9.56214993965604,0,0,6.49644855183757,10.7771486718456,12.6881616770782,13.4102497218531,0,22.5390709664353,12.0421858523183,8.69556708886802,0,12.4060589338486,4.74065953669365,0,14.9158205628211,8.55901690389489,6.25579305928557,8.95651659235226,7.03651102199164,6.37997897295064,10.1810437133779,7.21393089374459,0,4.37262842142084,6.23469392025096,5.59354843857336,9.32985925668739,6.25131828719545,0,0
17,7614893,29004,1160190,0,1114130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,7614893,30406,1256035,0,1202538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7614893,31933,1377038,0,1314123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,7614893,33500,1520776,0,1446607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,7614893,11616,544500,0,516620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
