week,population,deaths,confirmed,recovered,active,hospitalized,hospitalization rate,"US, HI - deaths","US, HI - confirmed","US, HI - recovered","US, HI - hospitalized","US, AK - deaths","US, AK - confirmed","US, AK - recovered","US, AK - hospitalized","US, CA - deaths","US, CA - confirmed","US, CA - recovered","US, CA - hospitalized","US, AL - deaths","US, AL - confirmed","US, AL - recovered","US, AL - hospitalized","US, AR - deaths","US, AR - confirmed","US, AR - recovered","US, AR - hospitalized","US, AZ - deaths","US, AZ - confirmed","US, AZ - recovered","US, AZ - hospitalized","US, CO - deaths","US, CO - confirmed","US, CO - recovered","US, CO - hospitalized","US, CT - deaths","US, CT - confirmed","US, CT - recovered","US, CT - hospitalized","US, DC - deaths","US, DC - confirmed","US, DC - recovered","US, DC - hospitalized","US, FL - deaths","US, FL - confirmed","US, FL - recovered","US, FL - hospitalized","US, GA - deaths","US, GA - confirmed","US, GA - recovered","US, GA - hospitalized","US, IA - deaths","US, IA - confirmed","US, IA - recovered","US, IA - hospitalized","US, IL - deaths","US, IL - confirmed","US, IL - recovered","US, IL - hospitalized","US, IN - deaths","US, IN - confirmed","US, IN - recovered","US, IN - hospitalized","US, KY - deaths","US, KY - confirmed","US, KY - recovered","US, KY - hospitalized","US, LA - deaths","US, LA - confirmed","US, LA - recovered","US, LA - hospitalized","US, MA - deaths","US, MA - confirmed","US, MA - recovered","US, MA - hospitalized","US, MD - deaths","US, MD - confirmed","US, MD - recovered","US, MD - hospitalized","US, MI - deaths","US, MI - confirmed","US, MI - recovered","US, MI - hospitalized","US, MN - deaths","US, MN - confirmed","US, MN - recovered","US, MN - hospitalized","US, MO - deaths","US, MO - confirmed","US, MO - recovered","US, MO - hospitalized","US, NC - deaths","US, NC - confirmed","US, NC - recovered","US, NC - hospitalized","US, NE - deaths","US, NE - confirmed","US, NE - recovered","US, NE - hospitalized","US, NH - deaths","US, NH - confirmed","US, NH - recovered","US, NH - hospitalized","US, NJ - deaths","US, NJ - confirmed","US, NJ - recovered","US, NJ - hospitalized","US, NM - deaths","US, NM - confirmed","US, NM - recovered","US, NM - hospitalized","US, NV - deaths","US, NV - confirmed","US, NV - recovered","US, NV - hospitalized","US, NY - deaths","US, NY - confirmed","US, NY - recovered","US, NY - hospitalized","US, OH - deaths","US, OH - confirmed","US, OH - recovered","US, OH - hospitalized","US, OR - deaths","US, OR - confirmed","US, OR - recovered","US, OR - hospitalized","US, PA - deaths","US, PA - confirmed","US, PA - recovered","US, PA - hospitalized","US, RI - deaths","US, RI - confirmed","US, RI - recovered","US, RI - hospitalized","US, TN - deaths","US, TN - confirmed","US, TN - recovered","US, TN - hospitalized","US, TX - deaths","US, TX - confirmed","US, TX - recovered","US, TX - hospitalized","US, VA - deaths","US, VA - confirmed","US, VA - recovered","US, VA - hospitalized","US, WI - deaths","US, WI - confirmed","US, WI - recovered","US, WI - hospitalized","US, MT - deaths","US, MT - confirmed","US, MT - recovered","US, MT - hospitalized","US, OK - deaths","US, OK - confirmed","US, OK - recovered","US, OK - hospitalized","US, SC - deaths","US, SC - confirmed","US, SC - recovered","US, SC - hospitalized","US, UT - deaths","US, UT - confirmed","US, UT - recovered","US, UT - hospitalized","US, ME - deaths","US, ME - confirmed","US, ME - recovered","US, ME - hospitalized","US, MS - deaths","US, MS - confirmed","US, MS - recovered","US, MS - hospitalized","US, WV - deaths","US, WV - confirmed","US, WV - recovered","US, WV - hospitalized","US, ID - deaths","US, ID - confirmed","US, ID - recovered","US, ID - hospitalized","US, KS - deaths","US, KS - confirmed","US, KS - recovered","US, KS - hospitalized","US, ND - deaths","US, ND - confirmed","US, ND - recovered","US, ND - hospitalized","US, SD - deaths","US, SD - confirmed","US, SD - recovered","US, SD - hospitalized","US, WY - deaths","US, WY - confirmed","US, WY - recovered","US, WY - hospitalized","US, VT - deaths","US, VT - confirmed","US, VT - recovered","US, VT - hospitalized","US, DE - deaths","US, DE - confirmed","US, DE - recovered","US, DE - hospitalized"
1,7614893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8983,199846,158781,32082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7614893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9046,202605,161811,31748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7614893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9068,205565,163681,32816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7614893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9085,208916,165887,33944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7614893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9125,211408,168159,34124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7614893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9165,214062,170184,34713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7614893,1743,32043,0,30494,1556,1.04217621751484,27,1514,925,1487,25,834,249,809,306,11578,0,10944,306,11578,0,10944,88,4188,1185,4100,368,11056,249,10688,922,22948,0,22026,1827,39405,0,37578,9221,216254,172146,34887,1531,62542,0,163011,1423,40345,0,38922,131,5196,2156,5065,2386,66125,0,63739,1460,24814,0,23734,316,6029,1700,5713,0,0,0,0,2444,80506,0,78062,800,26633,1666,25833,4849,76880,1332,72031,219,4937,2593,4718,399,13735,0,13140,295,14569,0,14274,0,0,0,0,71,2836,724,2765,7598,195258,0,187660,83,3852,834,3769,352,8960,0,8608,30285,587802,71661,557517,1188,20864,0,20013,160,4744,0,4584,1837,72695,0,70858,299,8581,305,8375,339,16945,5144,16606,1006,43196,6863,42028,444,17203,721,16759,468,10324,0,9856,20,1180,537,1160,303,6223,2790,5920,261,10264,0,10003,49,7083,436,7034,58,2066,831,2008,305,8810,0,8505,23,1844,315,1821,87,4297,0,4210,201,4175,0,3988,23,980,386,957,18,2586,665,2568,2,827,415,825,84,2227,45,2143,164,5309,681,5190
8,7614893,10957,188817,0,178571,6913,4.03965024352963,178,8748,6478,8570,135,4926,2706,4791,2816,84514,0,80270,2816,84514,0,80270,665,35358,12637,34693,3376,83692,16158,80316,8079,167700,10936,159621,22849,321568,0,298719,9240,218889,173798,35851,13733,426387,0,412654,12305,310403,0,298098,1422,60455,22456,59033,23698,543719,0,520021,12513,192593,0,182418,2657,50792,18381,48135,0,0,0,0,32526,673477,0,640951,10148,229362,15001,219214,41876,512399,66067,470523,2865,43823,21432,40958,3679,95881,0,90992,3861,114608,0,110747,0,0,0,0,706,23879,8750,23173,75563,1426724,31284,1351161,1081,33658,7820,32577,2671,61485,100,58814,292396,3925013,415399,3632617,11124,199719,0,190660,1209,31011,0,29802,22879,552076,0,529197,3464,87990,4775,85356,2422,120336,58330,117914,9028,326689,114083,316131,5286,157128,22117,151842,3688,75060,0,71372,179,6539,4348,6360,2517,43248,26674,40731,2206,71925,36912,69719,490,52508,15300,52018,598,13778,6861,13180,2823,74368,3413,71545,388,13953,5280,13565,748,26457,9866,25709,1598,38174,266,36581,201,10307,3867,10106,133,27650,13761,27517,68,6237,3880,6169,611,12310,8640,11699,1912,48105,9989,46736
9,7614893,13866,242034,0,228647,3450,1.47792114326839,252,9414,8246,916,144,5610,4430,1027,5391,136861,0,130147,5391,136861,0,130147,1261,56072,36514,18297,6883,151123,31927,112313,13932,273678,42568,217178,41338,475777,70231,364208,9274,222031,176300,36457,23655,579438,0,555783,20102,471238,0,451136,3480,161460,65106,92874,46343,1059991,0,1013648,21373,333890,0,313373,4287,89505,31403,53815,0,0,0,0,67969,1096312,0,1028343,22331,438966,29852,386783,64895,684037,262413,356729,7585,139584,72064,59935,6825,142028,0,134187,7695,203894,36460,159739,1223,101612,0,100389,1668,42320,16831,23821,129752,1993240,234630,1628042,2674,66921,15918,48329,4337,87704,2899,80468,387308,4891846,863049,3641489,20230,334068,0,315552,1792,44902,13267,29843,50904,839550,0,788646,7416,156626,10447,140521,3548,212677,103789,105340,15884,547812,277799,250566,11393,325784,42942,271449,5609,137664,67894,64161,240,6859,6218,401,3848,64561,44768,15945,4657,107633,63718,39258,901,86181,40425,44855,919,19808,11937,6952,5655,130336,69671,55010,768,19231,10514,7949,994,32500,20590,10916,2463,92513,5001,85049,460,20531,10216,9855,439,46124,30188,15497,105,9448,6329,3014,783,13642,6835,6024,4318,88420,32263,53113
10,7614893,16013,291027,0,275301,29489,10.5358212506264,255,9642,8737,650,150,6076,5324,579,8071,211938,66416,133627,8071,211938,66416,133627,1670,83107,59980,21457,11487,234978,58839,164652,19564,351434,53224,278579,54079,591893,100864,436950,9307,224670,177859,37504,32410,738931,0,706521,26686,618959,0,592273,6343,246882,131077,109462,69818,1570988,0,1501170,28732,453426,0,424800,5659,126093,44370,76064,0,0,0,0,92806,1355212,0,1262406,32894,661111,47032,581185,76946,803728,452500,274282,12546,285788,196119,77123,9963,178845,0,168693,11436,327969,183574,132959,2096,174656,0,172560,2965,59628,27729,28934,163218,2282244,359584,1756119,4474,98982,31823,62685,5671,113159,5205,102283,432650,5365387,945020,3987717,28057,460876,0,433006,2166,57657,22898,32593,73848,1046626,334926,637852,10907,203510,16103,178757,4838,291125,181368,104919,23058,806904,483188,298558,17110,527268,71357,438801,7446,216425,125002,83977,244,7154,6586,324,4581,86647,67613,14453,6342,145203,84714,54147,1389,120446,71301,47756,1136,28839,17931,9772,8951,189833,119576,61306,1052,25075,15624,8399,1160,38418,26590,10668,3060,131073,7261,120752,753,33177,21531,10893,733,65290,47815,16742,170,12115,8250,3695,810,14296,12460,1026,6533,126477,63320,58400
