origin_ID,dest_ID,ID,Prediction,date
"AS, NA","US, HI","AS, NA-US, HI",1158,2020-01-01
"AS, NA","US, HI","AS, NA-US, HI",981,2020-01-15
"AS, NA","US, HI","AS, NA-US, HI",812,2020-01-28
"AS, NA","US, HI","AS, NA-US, HI",681,2020-02-10
"AS, NA","US, HI","AS, NA-US, HI",649,2020-02-23
"AS, NA","US, HI","AS, NA-US, HI",589,2020-03-07
"AS, NA","US, HI","AS, NA-US, HI",378,2020-03-20
"AS, NA","US, HI","AS, NA-US, HI",84,2020-04-02
"AS, NA","US, HI","AS, NA-US, HI",0,2020-04-15
"AS, NA","US, HI","AS, NA-US, HI",0,2020-04-28
"AS, NA","US, HI","AS, NA-US, HI",8,2020-05-11
"AS, NA","US, HI","AS, NA-US, HI",2,2020-05-24
"AS, NA","US, HI","AS, NA-US, HI",0,2020-06-06
"AS, NA","US, HI","AS, NA-US, HI",24,2020-06-19
"AS, NA","US, HI","AS, NA-US, HI",107,2020-07-02
"AS, NA","US, HI","AS, NA-US, HI",121,2020-07-15
"AS, NA","US, HI","AS, NA-US, HI",50,2020-07-28
"AS, NA","US, HI","AS, NA-US, HI",0,2020-08-10
"AS, NA","US, HI","AS, NA-US, HI",0,2020-08-23
"AS, NA","US, HI","AS, NA-US, HI",0,2020-09-05
"AS, NA","US, HI","AS, NA-US, HI",0,2020-09-18
"AS, NA","US, HI","AS, NA-US, HI",0,2020-10-01
"AS, NA","US, HI","AS, NA-US, HI",0,2020-10-14
"AS, NA","US, HI","AS, NA-US, HI",0,2020-10-27
"GU, NA","MP, NA","GU, NA-MP, NA",2060,2020-01-01
"GU, NA","MP, NA","GU, NA-MP, NA",1933,2020-01-15
"GU, NA","MP, NA","GU, NA-MP, NA",1960,2020-01-28
"GU, NA","MP, NA","GU, NA-MP, NA",1902,2020-02-10
"GU, NA","MP, NA","GU, NA-MP, NA",1707,2020-02-23
"GU, NA","MP, NA","GU, NA-MP, NA",1342,2020-03-07
"GU, NA","MP, NA","GU, NA-MP, NA",793,2020-03-20
"GU, NA","MP, NA","GU, NA-MP, NA",177,2020-04-02
"GU, NA","MP, NA","GU, NA-MP, NA",0,2020-04-15
"GU, NA","MP, NA","GU, NA-MP, NA",42,2020-04-28
"GU, NA","MP, NA","GU, NA-MP, NA",197,2020-05-11
"GU, NA","MP, NA","GU, NA-MP, NA",258,2020-05-24
"GU, NA","MP, NA","GU, NA-MP, NA",252,2020-06-06
"GU, NA","MP, NA","GU, NA-MP, NA",247,2020-06-19
"GU, NA","MP, NA","GU, NA-MP, NA",254,2020-07-02
"GU, NA","MP, NA","GU, NA-MP, NA",298,2020-07-15
"GU, NA","MP, NA","GU, NA-MP, NA",374,2020-07-28
"GU, NA","MP, NA","GU, NA-MP, NA",367,2020-08-10
"GU, NA","MP, NA","GU, NA-MP, NA",213,2020-08-23
"GU, NA","MP, NA","GU, NA-MP, NA",23,2020-09-05
"GU, NA","MP, NA","GU, NA-MP, NA",0,2020-09-18
"GU, NA","MP, NA","GU, NA-MP, NA",0,2020-10-01
"GU, NA","MP, NA","GU, NA-MP, NA",8,2020-10-14
"GU, NA","MP, NA","GU, NA-MP, NA",5,2020-10-27
"GU, NA","US, AK","GU, NA-US, AK",0,2020-01-01
"GU, NA","US, AK","GU, NA-US, AK",0,2020-01-15
"GU, NA","US, AK","GU, NA-US, AK",0,2020-01-28
"GU, NA","US, AK","GU, NA-US, AK",0,2020-02-10
"GU, NA","US, AK","GU, NA-US, AK",0,2020-02-23
"GU, NA","US, AK","GU, NA-US, AK",0,2020-03-07
"GU, NA","US, AK","GU, NA-US, AK",0,2020-03-20
"GU, NA","US, AK","GU, NA-US, AK",0,2020-04-02
"GU, NA","US, AK","GU, NA-US, AK",0,2020-04-15
"GU, NA","US, AK","GU, NA-US, AK",0,2020-04-28
"GU, NA","US, AK","GU, NA-US, AK",0,2020-05-11
"GU, NA","US, AK","GU, NA-US, AK",0,2020-05-24
"GU, NA","US, AK","GU, NA-US, AK",0,2020-06-06
"GU, NA","US, AK","GU, NA-US, AK",0,2020-06-19
"GU, NA","US, AK","GU, NA-US, AK",0,2020-07-02
"GU, NA","US, AK","GU, NA-US, AK",0,2020-07-15
"GU, NA","US, AK","GU, NA-US, AK",0,2020-07-28
"GU, NA","US, AK","GU, NA-US, AK",0,2020-08-10
"GU, NA","US, AK","GU, NA-US, AK",0,2020-08-23
"GU, NA","US, AK","GU, NA-US, AK",0,2020-09-05
"GU, NA","US, AK","GU, NA-US, AK",0,2020-09-18
"GU, NA","US, AK","GU, NA-US, AK",0,2020-10-01
"GU, NA","US, AK","GU, NA-US, AK",0,2020-10-14
"GU, NA","US, AK","GU, NA-US, AK",0,2020-10-27
"GU, NA","US, CA","GU, NA-US, CA",0,2020-01-01
"GU, NA","US, CA","GU, NA-US, CA",0,2020-01-15
"GU, NA","US, CA","GU, NA-US, CA",0,2020-01-28
"GU, NA","US, CA","GU, NA-US, CA",0,2020-02-10
"GU, NA","US, CA","GU, NA-US, CA",0,2020-02-23
"GU, NA","US, CA","GU, NA-US, CA",0,2020-03-07
"GU, NA","US, CA","GU, NA-US, CA",0,2020-03-20
"GU, NA","US, CA","GU, NA-US, CA",0,2020-04-02
"GU, NA","US, CA","GU, NA-US, CA",0,2020-04-15
"GU, NA","US, CA","GU, NA-US, CA",0,2020-04-28
"GU, NA","US, CA","GU, NA-US, CA",0,2020-05-11
"GU, NA","US, CA","GU, NA-US, CA",0,2020-05-24
"GU, NA","US, CA","GU, NA-US, CA",0,2020-06-06
"GU, NA","US, CA","GU, NA-US, CA",0,2020-06-19
"GU, NA","US, CA","GU, NA-US, CA",0,2020-07-02
"GU, NA","US, CA","GU, NA-US, CA",0,2020-07-15
"GU, NA","US, CA","GU, NA-US, CA",0,2020-07-28
"GU, NA","US, CA","GU, NA-US, CA",0,2020-08-10
"GU, NA","US, CA","GU, NA-US, CA",0,2020-08-23
"GU, NA","US, CA","GU, NA-US, CA",0,2020-09-05
"GU, NA","US, CA","GU, NA-US, CA",0,2020-09-18
"GU, NA","US, CA","GU, NA-US, CA",0,2020-10-01
"GU, NA","US, CA","GU, NA-US, CA",0,2020-10-14
"GU, NA","US, CA","GU, NA-US, CA",0,2020-10-27
"GU, NA","US, HI","GU, NA-US, HI",4189,2020-01-01
"GU, NA","US, HI","GU, NA-US, HI",3672,2020-01-15
"GU, NA","US, HI","GU, NA-US, HI",3288,2020-01-28
"GU, NA","US, HI","GU, NA-US, HI",3070,2020-02-10
"GU, NA","US, HI","GU, NA-US, HI",3203,2020-02-23
"GU, NA","US, HI","GU, NA-US, HI",3101,2020-03-07
"GU, NA","US, HI","GU, NA-US, HI",2120,2020-03-20
"GU, NA","US, HI","GU, NA-US, HI",629,2020-04-02
"GU, NA","US, HI","GU, NA-US, HI",8,2020-04-15
"GU, NA","US, HI","GU, NA-US, HI",171,2020-04-28
"GU, NA","US, HI","GU, NA-US, HI",611,2020-05-11
"GU, NA","US, HI","GU, NA-US, HI",910,2020-05-24
"GU, NA","US, HI","GU, NA-US, HI",1070,2020-06-06
"GU, NA","US, HI","GU, NA-US, HI",1108,2020-06-19
"GU, NA","US, HI","GU, NA-US, HI",1081,2020-07-02
"GU, NA","US, HI","GU, NA-US, HI",1187,2020-07-15
"GU, NA","US, HI","GU, NA-US, HI",1424,2020-07-28
"GU, NA","US, HI","GU, NA-US, HI",1376,2020-08-10
"GU, NA","US, HI","GU, NA-US, HI",798,2020-08-23
"GU, NA","US, HI","GU, NA-US, HI",97,2020-09-05
"GU, NA","US, HI","GU, NA-US, HI",0,2020-09-18
"GU, NA","US, HI","GU, NA-US, HI",0,2020-10-01
"GU, NA","US, HI","GU, NA-US, HI",45,2020-10-14
"GU, NA","US, HI","GU, NA-US, HI",33,2020-10-27
"MP, NA","GU, NA","MP, NA-GU, NA",2268,2020-01-01
"MP, NA","GU, NA","MP, NA-GU, NA",2106,2020-01-15
"MP, NA","GU, NA","MP, NA-GU, NA",2096,2020-01-28
"MP, NA","GU, NA","MP, NA-GU, NA",1972,2020-02-10
"MP, NA","GU, NA","MP, NA-GU, NA",1680,2020-02-23
"MP, NA","GU, NA","MP, NA-GU, NA",1243,2020-03-07
"MP, NA","GU, NA","MP, NA-GU, NA",700,2020-03-20
"MP, NA","GU, NA","MP, NA-GU, NA",154,2020-04-02
"MP, NA","GU, NA","MP, NA-GU, NA",0,2020-04-15
"MP, NA","GU, NA","MP, NA-GU, NA",21,2020-04-28
"MP, NA","GU, NA","MP, NA-GU, NA",156,2020-05-11
"MP, NA","GU, NA","MP, NA-GU, NA",249,2020-05-24
"MP, NA","GU, NA","MP, NA-GU, NA",290,2020-06-06
"MP, NA","GU, NA","MP, NA-GU, NA",299,2020-06-19
"MP, NA","GU, NA","MP, NA-GU, NA",301,2020-07-02
"MP, NA","GU, NA","MP, NA-GU, NA",336,2020-07-15
"MP, NA","GU, NA","MP, NA-GU, NA",406,2020-07-28
"MP, NA","GU, NA","MP, NA-GU, NA",390,2020-08-10
"MP, NA","GU, NA","MP, NA-GU, NA",224,2020-08-23
"MP, NA","GU, NA","MP, NA-GU, NA",24,2020-09-05
"MP, NA","GU, NA","MP, NA-GU, NA",0,2020-09-18
"MP, NA","GU, NA","MP, NA-GU, NA",0,2020-10-01
"MP, NA","GU, NA","MP, NA-GU, NA",8,2020-10-14
"MP, NA","GU, NA","MP, NA-GU, NA",8,2020-10-27
"MP, NA","MP, NA","MP, NA-MP, NA",4572,2020-01-01
"MP, NA","MP, NA","MP, NA-MP, NA",3889,2020-01-15
"MP, NA","MP, NA","MP, NA-MP, NA",3239,2020-01-28
"MP, NA","MP, NA","MP, NA-MP, NA",2587,2020-02-10
"MP, NA","MP, NA","MP, NA-MP, NA",2106,2020-02-23
"MP, NA","MP, NA","MP, NA-MP, NA",1627,2020-03-07
"MP, NA","MP, NA","MP, NA-MP, NA",956,2020-03-20
"MP, NA","MP, NA","MP, NA-MP, NA",224,2020-04-02
"MP, NA","MP, NA","MP, NA-MP, NA",0,2020-04-15
"MP, NA","MP, NA","MP, NA-MP, NA",19,2020-04-28
"MP, NA","MP, NA","MP, NA-MP, NA",248,2020-05-11
"MP, NA","MP, NA","MP, NA-MP, NA",579,2020-05-24
"MP, NA","MP, NA","MP, NA-MP, NA",890,2020-06-06
"MP, NA","MP, NA","MP, NA-MP, NA",1079,2020-06-19
"MP, NA","MP, NA","MP, NA-MP, NA",1189,2020-07-02
"MP, NA","MP, NA","MP, NA-MP, NA",1413,2020-07-15
"MP, NA","MP, NA","MP, NA-MP, NA",1734,2020-07-28
"MP, NA","MP, NA","MP, NA-MP, NA",1682,2020-08-10
"MP, NA","MP, NA","MP, NA-MP, NA",977,2020-08-23
"MP, NA","MP, NA","MP, NA-MP, NA",118,2020-09-05
"MP, NA","MP, NA","MP, NA-MP, NA",0,2020-09-18
"MP, NA","MP, NA","MP, NA-MP, NA",0,2020-10-01
"MP, NA","MP, NA","MP, NA-MP, NA",56,2020-10-14
"MP, NA","MP, NA","MP, NA-MP, NA",40,2020-10-27
"PR, NA","PR, NA","PR, NA-PR, NA",1974,2020-01-01
"PR, NA","PR, NA","PR, NA-PR, NA",1896,2020-01-15
"PR, NA","PR, NA","PR, NA-PR, NA",2000,2020-01-28
"PR, NA","PR, NA","PR, NA-PR, NA",1952,2020-02-10
"PR, NA","PR, NA","PR, NA-PR, NA",1645,2020-02-23
"PR, NA","PR, NA","PR, NA-PR, NA",1178,2020-03-07
"PR, NA","PR, NA","PR, NA-PR, NA",673,2020-03-20
"PR, NA","PR, NA","PR, NA-PR, NA",207,2020-04-02
"PR, NA","PR, NA","PR, NA-PR, NA",10,2020-04-15
"PR, NA","PR, NA","PR, NA-PR, NA",88,2020-04-28
"PR, NA","PR, NA","PR, NA-PR, NA",212,2020-05-11
"PR, NA","PR, NA","PR, NA-PR, NA",270,2020-05-24
"PR, NA","PR, NA","PR, NA-PR, NA",301,2020-06-06
"PR, NA","PR, NA","PR, NA-PR, NA",357,2020-06-19
"PR, NA","PR, NA","PR, NA-PR, NA",426,2020-07-02
"PR, NA","PR, NA","PR, NA-PR, NA",454,2020-07-15
"PR, NA","PR, NA","PR, NA-PR, NA",423,2020-07-28
"PR, NA","PR, NA","PR, NA-PR, NA",331,2020-08-10
"PR, NA","PR, NA","PR, NA-PR, NA",172,2020-08-23
"PR, NA","PR, NA","PR, NA-PR, NA",18,2020-09-05
"PR, NA","PR, NA","PR, NA-PR, NA",0,2020-09-18
"PR, NA","PR, NA","PR, NA-PR, NA",0,2020-10-01
"PR, NA","PR, NA","PR, NA-PR, NA",6,2020-10-14
"PR, NA","PR, NA","PR, NA-PR, NA",5,2020-10-27
