name,week,population,deaths,confirmed,recovered,active,hospitalized,hospitalization rate
"US, HI",2020-10-27,1415872,NA,NA,NA,NA,NA,0.0
"US, HI",2020-10-27,1415872,NA,NA,NA,NA,NA,0.0
"US, HI",2020-10-27,1415872,NA,NA,NA,NA,NA,0.0
"US, HI",2020-10-27,1415872,NA,NA,NA,NA,NA,0.0
"US, HI",2020-10-27,1415872,NA,NA,NA,NA,NA,0.0
"US, HI",2020-10-27,1415872,NA,NA,NA,NA,NA,0.0
"US, HI",2020-10-27,1415845,9,511,315,502,44,0.6150405367857142
"US, HI",2020-10-27,1415667,16,613,505,597,69,0.8040083896527642
"US, HI",2020-10-27,1415415,17,637,563,57,81,0.9082753980713143
"US, HI",2020-10-27,1415160,17,649,604,28,83,0.9134932863746429
"US, HI",2020-10-27,1414905,17,723,627,79,87,0.85951393005335
"US, HI",2020-10-27,1414648,18,899,714,167,110,0.8739869696488143
"US, HI",2020-10-27,1414364,22,1243,890,331,125,0.7183082404321357
"US, HI",2020-10-27,1413998,26,1757,1191,540,165,0.6707862427839665
"US, HI",2020-10-27,1413560,38,3958,1665,2255,260,0.4692124449577707
"US, HI",2020-10-27,1412888,55,7566,2288,5223,444,0.4191684604055736
"US, HI",2020-10-27,1411701,96,10459,3176,7187,NA,0.0
"US, HI",2020-10-27,1409992,131,12018,5397,6490,NA,0.0
"US, HI",2020-10-27,1407721,169,13472,10713,2590,NA,0.0
"US, HI",2020-10-27,1404824,212,14709,11405,3092,NA,0.0
"US, HI",2020-10-27,1403746,219,15071,11738,3114,NA,0.0
"US, AK",2020-10-27,731545,NA,NA,NA,NA,NA,0.0
"US, AK",2020-10-27,731545,NA,NA,NA,NA,NA,0.0
"US, AK",2020-10-27,731545,NA,NA,NA,NA,NA,0.0
"US, AK",2020-10-27,731545,NA,NA,NA,NA,NA,0.0
"US, AK",2020-10-27,731545,NA,NA,NA,NA,NA,0.0
"US, AK",2020-10-27,731545,NA,NA,NA,NA,NA,0.0
"US, AK",2020-10-27,731520,9,285,98,276,32,0.8020050128571429
"US, AK",2020-10-27,731385,9,355,240,346,NA,0.0
"US, AK",2020-10-27,731241,10,384,339,34,NA,0.0
"US, AK",2020-10-27,731091,10,431,367,52,NA,0.0
"US, AK",2020-10-27,730934,12,666,405,236,NA,0.0
"US, AK",2020-10-27,730748,14,898,521,345,NA,0.0
"US, AK",2020-10-27,730510,17,1573,620,902,NA,0.0
"US, AK",2020-10-27,730230,22,2774,836,1872,NA,0.0
"US, AK",2020-10-27,729858,27,3925,1359,2493,NA,0.0
"US, AK",2020-10-27,729398,37,5022,2109,2828,NA,0.0
"US, AK",2020-10-27,728797,43,6151,2359,3702,NA,0.0
"US, AK",2020-10-27,728113,52,7414,3267,4048,NA,0.0
"US, AK",2020-10-27,727233,61,9735,5789,3837,NA,0.0
"US, AK",2020-10-27,726239,68,13412,6948,6340,NA,0.0
"US, AK",2020-10-27,725858,82,16365,7099,9174,NA,0.0
"US, CA",2020-10-27,39512223,NA,NA,NA,NA,NA,0.0
"US, CA",2020-10-27,39512223,NA,NA,NA,NA,NA,0.0
"US, CA",2020-10-27,39512223,NA,NA,NA,NA,NA,0.0
"US, CA",2020-10-27,39512223,NA,NA,NA,NA,NA,0.0
"US, CA",2020-10-27,39512223,NA,NA,NA,NA,NA,0.0
"US, CA",2020-10-27,39512223,NA,NA,NA,NA,NA,0.0
"US, CA",2020-10-27,39510101,766,25427,NA,24589,5163,1.4544317492857142
"US, CA",2020-10-27,39488835,1946,49310,NA,46801,NA,0.0
"US, CA",2020-10-27,39450916,3053,75580,NA,71819,NA,0.0
"US, CA",2020-10-27,39396894,4069,107707,NA,102545,NA,0.0
"US, CA",2020-10-27,39328347,5070,151885,NA,144942,NA,0.0
"US, CA",2020-10-27,39245540,5926,222630,NA,209364,NA,0.0
"US, CA",2020-10-27,39147354,7094,340931,NA,326268,NA,0.0
"US, CA",2020-10-27,39027869,8685,477355,NA,462083,NA,0.0
"US, CA",2020-10-27,38880273,10782,596862,NA,580623,NA,0.0
"US, CA",2020-10-27,38703061,12710,694617,NA,679144,NA,0.0
"US, CA",2020-10-27,38499704,14312,756997,NA,740675,NA,0.0
"US, CA",2020-10-27,38274550,15647,810373,NA,791868,NA,0.0
"US, CA",2020-10-27,38031564,16655,858460,NA,838611,NA,0.0
"US, CA",2020-10-27,37774947,17467,914421,NA,893052,NA,0.0
"US, CA",2020-10-27,37686718,17738,936325,NA,914484,NA,0.0
"US, AL",2020-10-27,4903185,NA,NA,NA,NA,NA,0.0
"US, AL",2020-10-27,4903185,NA,NA,NA,NA,NA,0.0
"US, AL",2020-10-27,4903185,NA,NA,NA,NA,NA,0.0
"US, AL",2020-10-27,4903185,NA,NA,NA,NA,NA,0.0
"US, AL",2020-10-27,4903185,NA,NA,NA,NA,NA,0.0
"US, AL",2020-10-27,4903185,NA,NA,NA,NA,NA,0.0
"US, AL",2020-10-27,4902879,114,4041,NA,3839,493,0.8908243285714287
"US, AL",2020-10-27,4900063,256,6979,NA,6656,945,0.9765625
"US, AL",2020-10-27,4894672,473,11161,NA,10628,1350,0.8686476121842286
"US, AL",2020-10-27,4886601,610,17262,9355,7066,1800,0.7549258914416572
"US, AL",2020-10-27,4876203,773,25364,13508,10320,2241,0.650670414094665
"US, AL",2020-10-27,4863535,919,36503,18866,15656,2703,0.5447685690906822
"US, AL",2020-10-27,4848050,1124,56168,25783,28638,6745,0.8673790877409572
"US, AL",2020-10-27,4827903,1491,82698,32510,48365,9893,0.8579302832999715
"US, AL",2020-10-27,4802498,1882,104219,41523,61381,12292,0.8378981925066357
"US, AL",2020-10-27,4772940,2076,121041,48028,70919,14005,0.8265843210440501
"US, AL",2020-10-27,4739398,2333,136107,54223,80147,NA,0.0
"US, AL",2020-10-27,4702978,2501,150965,64583,84507,NA,0.0
"US, AL",2020-10-27,4664347,2664,165414,71240,91438,NA,0.0
"US, AL",2020-10-27,4622471,2866,185938,74439,108017,NA,0.0
"US, AL",2020-10-27,4607855,2967,193613,81005,108313,NA,0.0
"US, AR",2020-10-27,3017804,NA,NA,NA,NA,NA,0.0
"US, AR",2020-10-27,3017804,NA,NA,NA,NA,NA,0.0
"US, AR",2020-10-27,3017804,NA,NA,NA,NA,NA,0.0
"US, AR",2020-10-27,3017804,NA,NA,NA,NA,NA,0.0
"US, AR",2020-10-27,3017804,NA,NA,NA,NA,NA,0.0
"US, AR",2020-10-27,3017804,NA,NA,NA,NA,NA,0.0
"US, AR",2020-10-27,3017716,32,1498,427,1466,130,0.6198741178571429
"US, AR",2020-10-27,3017051,57,3193,1249,3136,389,0.87020714956825
"US, AR",2020-10-27,3015790,98,4366,3277,991,509,0.8327334598521071
"US, AR",2020-10-27,3014120,132,6777,4583,2062,667,0.7030080735260021
"US, AR",2020-10-27,3011827,177,12095,7607,4311,979,0.5781609874210122
"US, AR",2020-10-27,3008494,264,19818,13270,6284,1373,0.4948603722445686
"US, AR",2020-10-27,3004066,323,28939,22106,6510,1836,0.4531699683570857
"US, AR",2020-10-27,2998459,428,40181,33188,6565,2686,0.47748224996178
"US, AR",2020-10-27,2990927,572,51096,42998,7526,3472,0.4853608893064036
"US, AR",2020-10-27,2981163,739,58745,52665,5341,4104,0.4990090342035186
"US, AR",2020-10-27,2968243,953,67911,61245,5713,NA,0.0
