name,week,population,deaths,confirmed,recovered,active,flights_arrived,flights_departed,arrived,departed,hospitalized,hospitalization rate
"US, HI",2020-01-01,1415872,0,0,0,0,480,420,605060,647628,0,0.0
"US, HI",2020-01-16,1415872,0,0,0,0,480,420,621877,643811,0,0.0
"US, HI",2020-01-31,1415872,0,0,0,0,480,420,640912,632383,0,0.0
"US, HI",2020-02-15,1415872,0,0,0,0,480,420,590425,594627,0,0.0
"US, HI",2020-03-01,1415872,0,0,0,0,480,420,456505,512168,0,0.0
"US, HI",2020-03-16,1415872,0,0,0,0,480,420,271146,333868,0,0.0
"US, HI",2020-03-31,1415872,27,1514,925,1487,480,420,68642,87382,132,1.8684543940113376
"US, HI",2020-04-15,1415872,178,8748,6478,8570,480,420,121,139,867,10.567117645531747
"US, HI",2020-04-30,1415872,252,9414,8246,916,480,420,14932,16564,1136,12.923024151674614
"US, HI",2020-05-15,1415872,255,9642,8737,650,480,420,50661,57730,1240,13.7789314944572
"US, HI",2020-05-30,1415872,255,10092,9217,620,480,420,68145,73825,1257,13.35250156181369
"US, HI",2020-06-14,1415872,257,12056,9883,1916,480,420,91796,94484,1478,13.134206663111703
"US, HI",2020-06-29,1415872,284,15832,11789,3759,480,420,125932,126121,1779,12.123513808503528
"US, HI",2020-07-14,1415872,366,21992,15878,5748,480,420,133695,133321,2220,10.853113310130317
"US, HI",2020-07-29,1415872,438,42431,20740,21253,480,420,105180,106487,3146,8.148550855868269
"US, HI",2020-08-13,1415872,672,88346,29826,57848,480,420,62939,65006,4990,6.050364449892608
"US, HI",2020-08-28,1415872,1187,139505,41621,96697,480,420,18676,19474,0,0.0
"US, HI",2020-09-12,1415872,1709,169266,65690,101867,480,420,41,39,0,0.0
"US, HI",2020-09-27,1415872,2271,191798,156177,33350,480,420,26,25,0,0.0
"US, HI",2020-10-12,1415872,2897,211550,165840,42813,480,420,1853,1934,0,0.0
"US, HI",2020-10-27,1415872,1078,74592,57992,15522,160,140,1298,1354,0,0.0
"US, AK",2020-01-01,731545,0,0,0,0,525,450,163303,157539,0,0.0
